Comparing channel(s) YUV

           Mean               Max    Max             
         Absolute     Mean    Pos.   Neg.            
 Frame     Dev.       Dev.    Dev.   Dev.  PSNR (dB) 
   502    0.0000    +0.0000    0      0     96.9160
   503    0.0000    +0.0000    0      0     96.9160
   504    0.0000    +0.0000    0      0     96.9160
   505    0.0000    +0.0000    0      0     96.9160
   506    0.0000    +0.0000    0      0     96.9160
   507    8.9172    +2.9321  178    -131     18.6399
   508    8.8691    +2.7195  174    -133     18.7022
   509    8.8251    +2.5671  174    -135     18.7464
   510    8.8352    +2.6253  174    -133     18.7464
   511    8.8358    +2.7192  175    -133     18.7522
   512    8.8429    +2.7310  175    -133     18.7411
   513    8.9056    +2.8805  176    -130     18.6718
   514    8.9448    +3.0078  176    -130     18.6597
   515    8.7730    +2.4889  173    -176     18.7888
   516    8.7815    +2.6027  171    -158     18.8047
   517    8.6434    +1.9176  172    -192     18.8579
   518    8.5961    +1.5829  170    -181     18.9473
   519    9.0515    +3.4323  176    -130     18.5027
   520    8.8603    +2.7902  171    -134     18.7172
   521    8.8131    +2.5138  175    -180     18.6810
   522    8.0999    -0.9148  156    -201     18.7437
   523    9.0349    +3.4434  179    -152     18.5280
   524    9.0740    +3.5209  178    -127     18.4834
   525    9.0643    +3.5114  182    -128     18.4761
   526    8.7982    +2.8733  172    -171     18.7558
   527    8.6057    +1.9244  169    -196     18.7993
   528    8.6308    +1.9803  169    -180     18.8806
   529    7.8734    -2.1119  144    -197     18.6038
   530    8.4720    +0.7307  164    -191     18.7354
   531    9.0558    +3.4480  180    -128     18.5213
   532    8.8768    +2.6518  175    -181     18.6138
   533    8.2369    -0.0771  162    -194     18.7878
   534    8.7303    +2.4495  167    -177     18.8597
   535    8.9932    +3.6414  179    -157     18.5596
   536    8.8253    +2.9318  174    -166     18.8041
   537    8.9140    +3.4807  175    -127     18.6920
   538    8.3314    +1.4930  165    -180     19.1122
   539    8.0922    -0.6075  159    -190     18.9113
   540    8.0997    -0.6663  153    -186     18.9797
   541    8.2304    +0.1678  159    -183     19.0968
   542    8.6781    +2.9078  164    -172     18.9624
   543    8.7943    +3.1267  167    -150     18.8694
   544    9.1236    +4.3636  172    -141     18.4078
